Class; Value; Class start; Class end;
141;177;0.365656495654;0.368267741737;
142;137;0.368267741737;0.370878987821;
143;170;0.370878987821;0.373490233905;
144;156;0.373490233905;0.376101479988;
145;124;0.376101479988;0.378712726072;
146;134;0.378712726072;0.381323972156;
147;122;0.381323972156;0.383935218239;
148;118;0.383935218239;0.386546464323;
149;119;0.386546464323;0.389157710407;
150;101;0.389157710407;0.391768956490;
151;99;0.391768956490;0.394380202574;
152;93;0.394380202574;0.396991448657;
153;88;0.396991448657;0.399602694741;
154;85;0.399602694741;0.402213940825;
155;69;0.402213940825;0.404825186908;
156;84;0.404825186908;0.407436432992;
157;87;0.407436432992;0.410047679076;
158;98;0.410047679076;0.412658925159;
159;82;0.412658925159;0.415270171243;
160;63;0.415270171243;0.417881417326;
161;73;0.417881417326;0.420492663410;
162;61;0.420492663410;0.423103909494;
163;66;0.423103909494;0.425715155577;
164;64;0.425715155577;0.428326401661;
165;50;0.428326401661;0.430937647745;
166;50;0.430937647745;0.433548893828;
167;53;0.433548893828;0.436160139912;
168;59;0.436160139912;0.438771385996;
169;46;0.438771385996;0.441382632079;
170;33;0.441382632079;0.443993878163;
171;50;0.443993878163;0.446605124246;
172;42;0.446605124246;0.449216370330;
173;34;0.449216370330;0.451827616414;
174;46;0.451827616414;0.454438862497;
175;41;0.454438862497;0.457050108581;
176;30;0.457050108581;0.459661354665;
177;38;0.459661354665;0.462272600748;
178;29;0.462272600748;0.464883846832;
179;41;0.464883846832;0.467495092915;
180;36;0.467495092915;0.470106338999;
181;23;0.470106338999;0.472717585083;
182;28;0.472717585083;0.475328831166;
183;19;0.475328831166;0.477940077250;
184;22;0.477940077250;0.480551323334;
185;23;0.480551323334;0.483162569417;
186;21;0.483162569417;0.485773815501;
187;14;0.485773815501;0.488385061585;
188;12;0.488385061585;0.490996307668;
189;17;0.490996307668;0.493607553752;
190;24;0.493607553752;0.496218799835;
191;21;0.496218799835;0.498830045919;
192;19;0.498830045919;0.501441292003;
193;23;0.501441292003;0.504052538086;
194;15;0.504052538086;0.506663784170;
195;13;0.506663784170;0.509275030254;
196;18;0.509275030254;0.511886276337;
197;5;0.511886276337;0.514497522421;
198;19;0.514497522421;0.517108768504;
199;16;0.517108768504;0.519720014588;
200;13;0.519720014588;0.522331260672;
201;12;0.522331260672;0.524942506755;
202;8;0.524942506755;0.527553752839;
203;9;0.527553752839;0.530164998923;
204;6;0.530164998923;0.532776245006;
205;10;0.532776245006;0.535387491090;
206;10;0.535387491090;0.537998737174;
207;6;0.537998737174;0.540609983257;
208;8;0.540609983257;0.543221229341;
209;4;0.543221229341;0.545832475424;
210;7;0.545832475424;0.548443721508;
211;7;0.548443721508;0.551054967592;
212;7;0.551054967592;0.553666213675;
213;6;0.553666213675;0.556277459759;
214;7;0.556277459759;0.558888705843;
215;5;0.558888705843;0.561499951926;
216;9;0.561499951926;0.564111198010;
217;7;0.564111198010;0.566722444094;
218;7;0.566722444094;0.569333690177;
219;6;0.569333690177;0.571944936261;
220;6;0.571944936261;0.574556182344;
221;3;0.574556182344;0.577167428428;
222;2;0.577167428428;0.579778674512;
223;3;0.579778674512;0.582389920595;
224;4;0.582389920595;0.585001166679;
225;4;0.585001166679;0.587612412763;
226;5;0.587612412763;0.590223658846;
227;4;0.590223658846;0.592834904930;
228;7;0.592834904930;0.595446151013;
229;4;0.595446151013;0.598057397097;
230;3;0.598057397097;0.600668643181;
231;2;0.600668643181;0.603279889264;
232;4;0.603279889264;0.605891135348;
233;7;0.605891135348;0.608502381432;
